147;четвёртое;tm4e;2;0;;
148;пять;tm5;2;0;;
149;пять_;tm5_;2;0;;
150;пятьдесят;tm50;2;0;;
151;пятьдесят_;tm50_;2;0;;
152;пятьсот;tm500;2;0;;
153;пятьсот_;tm500_;2;0;;
154;пятое;tm5e;2;0;;
155;шесть;tm6;2;0;;
156;шесть_;tm6_;2;0;;
157;шестьдесят;tm60;2;0;;
158;шестьдесят_;tm60_;2;0;;
159;шестьсот;tm600;2;0;;
160;шестьсот_;tm600_;2;0;;
161;шестое;tm6e;2;0;;
162;семь;tm7;2;0;;
163;семь_;tm7_;2;0;;
164;семьдесят;tm70;2;0;;
165;семьдесят_;tm70_;2;0;;
166;седьмое;tm7e;2;0;;
167;восемь;tm8;2;0;;
168;восемь_;tm8_;2;0;;
169;восемьдесят;tm80;2;0;;
170;восемьдесят_;tm80_;2;0;;
171;восемьсот;tm800;2;0;;
172;восемьсот_;tm800_;2;0;;
173;восьмое;tm8e;2;0;;
174;девять;tm9;2;0;;
175;девять_;tm9_;2;0;;
176;девяносто;tm90;2;0;;
177;девяносто_;tm90_;2;0;;
178;девятьсот;tm900;2;0;;
179;девятьсот_;tm900_;2;0;;
180;девятое;tm9e;2;0;;
182;семьсот;tm700;2;0;;
183;семьсот_;tm700_;2;0;;
184;ноль;tm0;2;0;;
185;ноль_;tm0_;2;0;;
186;ВАЗ;tmVAZ;0;0;;
192;Оранжевый;tmorange;1;0;;
194;СанЙонг;tmSsang-Yong;0;0;;
203;нива;tmNIVA;0;0;;
204;Лада;tmLADA;0;0;;
205;ЗИЛ;tmZIL;0;0;;
206;Газ;tmGAZ;0;0;;
207;Иж;tmIZH;0;0;;
209;БМВ;tmBMW;0;0;;
210;Серо-зелёный;tmgray_green;1;0;;
212;Ровер;tmRover;0;0;;
213;Датсун;;0;0;;
214;Тёмно-коричневый;tmdark_brown;1;0;;
215;ЗАЗ;tmZAZ-Sens;0;0;;
216;order_accepted;ru/tmVas_privetstvuet_sluzba_taxi&ru/tmMashina_vyehala_k_vam&$mark&$model&ru/tmColor&$color&ru/tmgos_nomer&$gosnumber&ru/tmMashina_podjedet_k_vam_cherez&$minutes&ru/tmminut_;4;0;;
198;order_driver_assigned;ru/tmVas_privetstvuet_sluzba_taxi&ru/tmMashina_vyehala_k_vam&$mark&$model&ru/tmColor&$color&ru/tmgos_nomer&$gosnumber&ru/tmMashina_podjedet_k_vam_cherez&$minutes&ru/tmminut_;4;0;;
199;order_crew_at_place;ru/tmVas_privetstvuet_sluzba_taxi&ru/tmMashina_podjehala_k_vam&$mark&$model&ru/tmColor&$color&ru/tmgos_nomer&$gosnumber&ru/tmPlease_go_out;4;0;;
